Result,Text,Title
yes,"korktum, tırstım, fırstım diye her şeyin lezzetini yarıda bırakır.",fobi
yes,"agorafobi, asansor fobisi, diskofobi, fobik bozukluklar, homofobik, klostrofobi, ucak fobisi, sozlukte yalnizlik fobisi",fobi
yes,arachnophobia,fobi
yes,vertigo,fobi
yes,"korkudan çok, dayanamamak durumu vardır.",fobi
yes,dorafobi: tüy korkusutriskadekafobi: 13 korkusuarakibutirofobi: üst damağa fıstık ezmesi yapışması korkusugimnotofobi: çıplaklık korkusupanfobi: herşeyden korkma,fobi
yes,korku.latince phobos kelimesinden uretilmistir,fobi
yes,ithyphallophobia - erekte olmuş bir penisi görme veya düşünme korkusu. japanophobia - japon korkusu. logizomechanophobia - bilgisayar korkusu. oneirophobia - rüya korkusu. ouranophobia - cennet korkusu. parthenophobia - bakire veya genç kız korkusu. venustraphobia - güzel kadın korkusu. auroraphobia - kuzey ışıkları korkusu.,fobi
yes,"ekşisözlükfobi: sözlükten korkma, ayarfobi: ayar almaktan korkma, entryfobi: entry girmekten korkma, smileyfobi: smiley koymaktan korkma",fobi
yes,"nesnesi belli olan ve bu nesnelerinin ozellikleriyle korkunun boyutu arasinda buyuk bir ucurum olan korku turu. 3 reaksiyon a ayrilir: basit fobi, agorafobi, sosyalfobi.",fobi
yes,"-childhood fear is replaced by another fear, such as fear of dogs or bugs, which is a reflection of our deeper unconscious fear",fobi
yes,ucmafobi: ekşi sözlükten uçurulmaktan korkma,fobi
yes,"fobi sadece korku değildir, korkuyla beraber veya korkudan ayrı olarak mantıkdışı, geçerli bir sebebi olmayan nefrettir de aynı zamanda.",fobi
yes,"ucak fobisi olan bir kisiyi ele alalim. ne yaziktir ki ucaklardan korkan bir insan degil binmek, tepesinden ucak gecse bile korkar üstüne düsecegini falan zanneder evdeyse de camdan iceri girebilecegini düsünür. bu insan icin ucak yolculugu yapmak kacinilmaz olsa bile  bir yolunu arar, gece rüyalarina girer, sürekli ucarken ölecegini düsünür.",fobi
yes,"nazım hikmet de ölümden çok korkarmış. uyku hapları aldığı zamanlarda bile en fazla 4-5 saat uyuyabilirmiş. çılgın ressam salvador dali'nin de nazım gibi ölüm fobisi vardı. montaigne, cuma günleri asla kalemi eline almadığı gibi 13 rakamından ödü koparmış. voltaire karanlıktan ödü patlatığı için ışıksız odada asla yatamamış, dünyanın en ünlü öykü ustalarından borges'te ise kalabalık karşısında konuşma fobisi varmış.",fobi
yes,"fobi illa da korku degildir. tiksinme, sakinma, temastan kacinma, igrenme durumlarinin da sebebidir. mesela ben dugme ve gomleklere dokunamadigim icin birakin giymeyi, gomlek veya bogazi dugmeli tisort giymis insanlarla da temastan kacinirim (tabi sadece bunlari giydigi sure boyunca), dokunmamaya gayret ederim, sarilmam, nevresim kullanamam.",fobi
yes,zirvefobi,fobi
yes,korkum çocukluktan kalma her insanın farklı dönemlerine denk geliyo. fobi hem korkma hem tiksinme benim kanımca hem ilaç almaktan korkuyoum boğazımda kalıp ölcem die(çocukken feci bir boğazımda kalma wakası yaşadımda) hemde ilaca dokunmaktan ismini duyunca bi tiksinme geliyo bi titriyoum,fobi
yes,uçağa binmekten korkarım. neden bilmem öyle hissediyorum bu konu hakkında. hatta deja vu'da bununla alakalıdır.,fobi
yes,kararmış muz kabuğu dokunamama fobisidir,fobi
yes,en büyük korkum boyut değiştirirken iki boyut arasında kalmak. saçma ama korkuyorum.,fobi
yes,"geçen bir arkadaş 'ay benim yılan fobim var, çok korkarım yılanlardan'",fobi
yes,"fear can be overcome by facing it, as shown in humanist psychology, where one faces their fears, such as a person afraid of death facing death",fobi
yes,karanlık gibi çok yaygın ve sıklıkla karşınıza çıkan bir şeyden korkuyorsanız. insan kendi kalp sesinden tiksinir hale geliyor bir süre sonra.,fobi
yes,"tiksinme, iğrenme, mide bulantısı, baş dönmesi, kaşıntı, titreme, zangırdama, sersemleme, tansiyon düşmesi, baştan aşağıya kaynar sular dökülmesi, kaçınma, istemsizce kaçma",fobi
yes,"kisinin fiziksel, zihinsel ve duygusal kontrolunu kaybetmesine sebep olan, kisiye fiziksel, zihinsel ve duygusal zarar verebilen, kisinin yasadigi fiziksel, zihnsel veya duygusal bir travmadan kaynaklanan, tedavi edilmezse, sahiden olumle sonuclanabilecek davranislara sebep olan bir hastalik.",fobi
yes,"gıcırtı sesi.sert bir yüzeyin, başka sert bir yüzeye sürtünmesiyle ortaya çıkan ses.bu ses duyulduğunda, hatta düşünüldüğünde kaslarım gerilir. biryerlere vurma çarpma isteği duyarım. masaya, kendi kendime avucum içiyle vururum. yada sadece elime elime çarparım alkış gibi. yüzüm buruşur. sanki ağzıma metal almışım gibi bir tat oluşur.",fobi
yes,"fobisi olan insanlar “fobik” diye adlandırılırlar. çarpıntı, yüz kızarması, yüzde kaşınma ve yanma hissi, titreme, terleme, bulanık görme, nefes darlığı, ağız kuruluğu, yutkunma güçlüğü, mide bulantısı, bilinç kaybı, ani tansiyon düşüşü, bayılma vb..",fobi
yes,"korkumu kaybettiğimde güvende de değilimdir ve nereye kadar gidebileceğimi gösteren, sınırları çizen de korkumdur aslında.",fobi
yes,ayakabı alma fobisi var bende. bu gün yine yüzleştim bu korkumla ne zaman ayakkabı almam gerekse içim bir hoş oluyor günler öncesinden başlıyor sıkıntısı. bakarken hafiften başım dönmeye başladı bir yere oturdum sakinleşmeye çalıştım ama olmadı.,fobi
yes,"yanma fobisi olan şahsımı, filmde gördüğü bir yanmış adam sahnesi nedeniyle sinemada baygınlık geçirecek noktaya getirmiştir",fobi
yes,arkadaş insan neden topuklu ayakkabıdan korkar (bkz: helshoesafobi) ya da neden veriden korkar yahu (bkz: datafobi),fobi
yes,çok katlı binalarda dört ve üstü dahil buna ve asansör yoksa o binada tek başıma merdivenleri çıkamıyorum. bir korku var çocukluğumdan bu yana.,fobi
yes,bir klastrofobi var ki tünellerde kafayı yeme derecesinde özellikle şehirler arası yolculuk yaparken,fobi
yes,"fobisi olan insanı dehşete düşürür.örnek uçak fobisi. herkesin aklına 'bu nasıl uçuyor, düşermi acaba' sorusu ve akabinde hafif bir tedirginlik gelir ama fobisi olan insan uçağa binemez.",fobi
yes,"her yerimi kaşıntı tuttu ve kendi saçlarım enseme değdikçe yerimden zıplıyorum. fobi kötüdür, fobi çirkindir",fobi
yes,endiže / acı verici duruma tekrarlı olarak maruz kalmak suretiyle de edinilebilen paniğe meyilli korku hali,fobi
yes,"yılan fobisi, korkmuştum, çığlık atmıştım, korkardım, gece yatarken bile yatağıma gelcekmiş gibi düşünüp korkardım, gece rüyalarıma girerdi, korkumu yenmek istedim, sakin kalmaya çalıştım, böylece fobimi yenmiş oldum",fobi
yes,"The text describes the feelings, behaviors, and stories of patients with mental disorders, specifically phobias, including agoraphobia, social phobia, and specific phobias, detailing their symptoms, causes, and treatment options.",fobi
yes,phonophobia,fobi
yes,phobatrivaphobia,fobi
yes,"ailurophobia, kediden korkmak imiş. ve bu fobiden muzdarip olan isimler; büyük iskender, napoleon bonaparte, benito mussolini, adolf hitler ve ben. ama artık korkmuyorum ben. gerçekten yendim bu fobimi.",fobi
